Table: Ground-state properties of even-even nuclei calculated by the DRHBc theory

Z				Proton number
N				Neutron number
A				Mass number
Eb_cal			(MeV) Binding energy from DRHBc calculations
Ebrot_cal		(MeV) Binding energy plus rotational correction energy from DRHBc calculations, which is suggested to be compared with the experimental value
Eb_exp			(MeV) Binding energy from experimental data
S2n				(MeV) Two-neutron separation energy
S2p				(MeV) Two-proton separation energy
Rn				(fm) Neutron root-mean-square radius
Rp				(fm) Proton root-mean-square radius
Rm				(fm) Matter root-mean-square radius
Rch_cal			(fm) Charge radius from DRHBc calculations
Rch_exp			(fm) Charge radius from experimental data
beta_n			Neutron quadrupole deformation
beta_p			Proton quadrupole deformation
beta_t			Matter quadrupole deformation
lam_n			(MeV) Neutron Fermi surface
lam_p			(MeV) Proton Fermi surface

Note: Unavailable data are shown by ####

Z	A	N	Eb_cal	Ebrot_cal	Eb_exp	S2n	S2p	    Rn	    Rp	    Rm	    Rch_cal	Rch_exp	beta_n	beta_p	beta_t	lam_n	lam_p
44	148	104	1041.37	1043.56	####	1.71	41.63	5.61	4.81	5.38	4.88	####	-0.208	-0.181	-0.200	-0.87	-20.39
44	150	106	1043.18	1043.18	####	1.81	41.89	5.64	4.77	5.40	4.84	####	-0.043	-0.035	-0.041	-1.19	-20.71
44	152	108	1045.41	1045.41	####	2.24	42.58	5.68	4.79	5.44	4.86	####	0.000	0.000	0.000	-1.17	-21.02
44	154	110	1047.58	1047.58	####	2.17	43.34	5.72	4.81	5.48	4.88	####	0.000	0.000	0.000	-1.06	-21.37
44	156	112	1049.43	1049.43	####	1.85	44.07	5.76	4.83	5.51	4.90	####	0.000	0.000	0.000	-0.59	-21.71
44	158	114	1049.62	1049.62	####	0.19	44.93	5.79	4.85	5.54	4.92	####	0.000	0.000	0.000	0.00	-22.17
46	88	42	697.55	697.55	####	####	-0.36	4.18	4.33	4.26	4.40	####	0.000	0.000	0.000	-15.94	0.57
46	90	44	729.06	730.90	####	31.51	2.25	4.22	4.33	4.28	4.40	####	0.122	0.129	0.126	-15.71	-0.49
46	92	46	759.74	761.30	761.35	30.68	4.81	4.26	4.33	4.30	4.40	####	0.145	0.148	0.147	-14.77	-1.63
46	94	48	788.20	789.72	788.82	28.46	6.90	4.29	4.32	4.31	4.40	####	0.105	0.110	0.107	-13.87	-2.87
46	96	50	816.00	816.00	815.04	27.80	8.68	4.31	4.32	4.31	4.39	####	0.000	0.000	0.000	-11.93	-3.92
46	98	52	834.70	836.57	836.32	18.70	10.36	4.38	4.35	4.36	4.42	####	0.101	0.100	0.100	-9.74	-4.69
46	100	54	854.02	855.91	856.36	19.32	12.30	4.44	4.38	4.41	4.45	####	0.173	0.162	0.168	-9.56	-5.44
46	102	56	872.53	874.44	875.19	18.51	13.98	4.50	4.41	4.46	4.48	4.48	0.202	0.183	0.193	-9.07	-6.28
46	104	58	889.74	891.80	892.82	17.21	15.61	4.55	4.43	4.50	4.50	4.51	0.202	0.183	0.193	-8.48	-7.13
46	106	60	905.95	908.13	909.48	16.21	17.20	4.60	4.44	4.53	4.52	4.53	0.194	0.176	0.186	-8.07	-8.00
46	108	62	921.37	923.59	925.24	15.42	17.87	4.64	4.46	4.56	4.53	4.56	0.180	0.165	0.174	-7.70	-8.82
46	110	64	936.19	938.97	940.19	14.83	18.57	4.70	4.50	4.62	4.57	4.58	-0.230	-0.215	-0.224	-7.70	-8.72
46	112	66	951.02	953.68	954.32	14.83	20.09	4.74	4.52	4.65	4.59	####	-0.234	-0.218	-0.227	-7.23	-9.44
46	114	68	964.73	967.29	967.63	13.71	21.59	4.79	4.54	4.69	4.61	####	-0.235	-0.220	-0.229	-6.60	-10.17
46	116	70	977.68	977.68	980.12	12.95	23.44	4.80	4.51	4.69	4.58	####	0.000	0.000	0.000	-6.64	-11.37
46	118	72	990.32	990.32	991.82	12.64	24.96	4.84	4.53	4.72	4.60	####	0.000	0.000	0.000	-6.20	-12.09
46	120	74	1002.08	1002.08	1002.85	11.77	26.54	4.88	4.54	4.75	4.61	####	0.000	0.000	0.000	-5.83	-12.87
46	122	76	1013.43	1015.21	1013.33	11.35	28.32	4.91	4.56	4.78	4.63	####	0.078	0.090	0.082	-5.58	-13.66
46	124	78	1024.10	1025.73	####	10.67	29.98	4.95	4.58	4.81	4.65	####	0.080	0.092	0.084	-5.15	-14.45
46	126	80	1033.95	1033.95	####	9.85	31.27	4.98	4.59	4.84	4.66	####	0.000	0.000	0.000	-4.97	-15.23
46	128	82	1043.70	1043.70	####	9.74	32.88	5.01	4.60	4.86	4.67	####	0.000	0.000	0.000	-3.52	-16.03
46	130	84	1047.72	1047.72	####	4.02	33.48	5.06	4.62	4.91	4.69	####	0.000	0.000	0.000	-2.09	-16.34
46	132	86	1051.62	1053.28	####	3.90	34.19	5.13	4.64	4.96	4.71	####	0.108	0.085	0.100	-2.19	-16.61
46	134	88	1055.86	1057.55	####	4.24	35.02	5.19	4.67	5.02	4.74	####	0.169	0.131	0.156	-2.19	-16.94
46	136	90	1059.89	1061.64	####	4.03	35.85	5.24	4.69	5.06	4.76	####	0.193	0.149	0.178	-2.05	-17.33
46	138	92	1063.62	1065.45	####	3.73	36.65	5.29	4.72	5.11	4.78	####	0.203	0.157	0.188	-1.91	-17.73
46	140	94	1067.08	1068.93	####	3.46	37.38	5.34	4.74	5.15	4.80	####	0.205	0.159	0.190	-1.77	-18.14
46	142	96	1070.27	1072.15	####	3.19	37.67	5.39	4.75	5.19	4.82	####	0.199	0.157	0.185	-1.65	-18.53
46	144	98	1073.21	1075.12	####	2.94	37.94	5.43	4.77	5.23	4.84	####	0.185	0.149	0.173	-1.54	-18.90
46	146	100	1075.96	1077.89	####	2.76	38.31	5.48	4.78	5.27	4.85	####	0.165	0.137	0.156	-1.48	-19.24
46	148	102	1078.68	1080.63	####	2.71	39.02	5.53	4.80	5.31	4.86	####	-0.164	-0.118	-0.150	-1.49	-19.30
46	150	104	1081.35	1083.23	####	2.68	39.98	5.57	4.81	5.35	4.88	####	-0.136	-0.098	-0.124	-1.43	-19.68
46	152	106	1083.93	1085.75	####	2.58	40.76	5.61	4.82	5.38	4.89	####	-0.095	-0.071	-0.088	-1.42	-20.03
46	154	108	1086.61	1086.61	####	2.68	41.19	5.65	4.83	5.42	4.90	####	0.000	0.000	0.000	-1.52	-20.32
46	156	110	1089.46	1089.46	####	2.85	41.88	5.69	4.85	5.45	4.91	####	0.000	0.000	0.000	-1.41	-20.65
46	158	112	1091.97	1091.97	####	2.51	42.55	5.73	4.87	5.49	4.93	####	0.000	0.000	0.000	-1.00	-20.98
46	160	114	1093.15	1093.15	####	1.18	43.53	5.75	4.89	5.52	4.95	####	0.000	0.000	0.000	-0.46	-21.46
46	162	116	1093.60	1093.60	####	0.44	44.42	5.78	4.91	5.55	4.98	####	0.000	0.000	0.000	-0.23	-21.93
46	164	118	1093.69	1093.69	####	0.09	45.28	5.81	4.93	5.58	5.00	####	0.000	0.000	0.000	-0.07	-22.39
46	166	120	1093.62	1095.39	####	-0.07	46.02	5.85	4.96	5.62	5.02	####	0.078	0.092	0.082	0.01	-22.78
48	92	44	728.67	730.53	####	####	-0.39	4.22	4.37	4.30	4.44	####	0.060	0.061	0.060	-16.53	0.53
48	94	46	761.39	762.94	####	32.71	1.65	4.26	4.37	4.32	4.44	####	0.109	0.108	0.109	-16.01	-0.24
48	96	48	792.84	794.07	####	31.45	4.63	4.29	4.36	4.33	4.44	####	0.113	0.116	0.114	-14.91	-1.36
48	98	50	822.84	822.84	821.07	30.01	6.85	4.31	4.35	4.33	4.43	####	0.000	0.000	0.000	-13.01	-2.97
48	100	52	843.03	843.03	843.77	20.18	8.33	4.37	4.37	4.37	4.45	4.45	0.000	0.000	0.000	-10.12	-3.80
48	102	54	863.39	865.17	865.38	20.36	9.37	4.44	4.41	4.43	4.48	4.48	0.144	0.129	0.137	-10.28	-4.02
48	104	56	883.45	885.14	885.83	20.06	10.92	4.49	4.44	4.47	4.51	4.51	0.179	0.156	0.168	-9.91	-4.56
48	106	58	902.54	904.38	905.14	19.10	12.80	4.54	4.46	4.51	4.53	4.53	0.183	0.160	0.172	-9.42	-5.33
48	108	60	920.66	922.69	923.40	18.12	14.72	4.59	4.48	4.54	4.55	4.55	0.178	0.156	0.168	-8.96	-6.10
48	110	62	937.80	939.88	940.64	17.13	16.43	4.64	4.49	4.57	4.57	4.57	0.170	0.151	0.161	-8.49	-7.10
48	112	64	954.04	956.00	957.01	16.25	17.85	4.68	4.51	4.61	4.58	4.59	0.155	0.141	0.149	-8.11	-7.81
48	114	66	969.60	971.27	972.59	15.56	18.58	4.71	4.52	4.63	4.59	4.61	0.134	0.127	0.131	-7.80	-8.73
48	116	68	984.71	984.71	987.43	15.11	19.98	4.75	4.53	4.66	4.60	4.62	0.000	0.000	0.000	-7.71	-9.85
48	118	70	999.48	999.48	1001.56	14.77	21.80	4.79	4.54	4.69	4.61	4.64	0.000	0.000	0.000	-7.33	-10.51
48	120	72	1013.54	1013.54	1014.96	14.05	23.22	4.83	4.56	4.72	4.63	4.65	0.000	0.000	0.000	-6.96	-11.23
48	122	74	1026.87	1026.87	1027.76	13.33	24.78	4.86	4.57	4.75	4.64	4.66	0.000	0.000	0.000	-6.61	-11.99
48	124	76	1039.57	1039.57	1039.99	12.71	26.14	4.90	4.59	4.78	4.66	4.66	0.000	0.000	0.000	-6.31	-12.77
48	126	78	1051.79	1051.79	1051.69	12.22	27.69	4.93	4.60	4.81	4.67	4.67	0.000	0.000	0.000	-6.03	-13.57
48	128	80	1063.52	1063.52	1062.81	11.74	29.57	4.96	4.62	4.83	4.68	4.68	0.000	0.000	0.000	-5.76	-14.36
48	130	82	1074.87	1074.87	1072.84	11.34	31.17	4.99	4.63	4.86	4.70	4.68	0.000	0.000	0.000	-4.17	-15.16
48	132	84	1079.54	1079.54	1078.33	4.67	31.82	5.05	4.65	4.90	4.71	####	0.000	0.000	0.000	-2.42	-15.49
48	134	86	1083.98	1083.98	####	4.44	32.36	5.10	4.66	4.95	4.73	####	0.000	0.000	0.000	-2.32	-15.83
48	136	88	1088.54	1090.25	####	4.56	32.69	5.16	4.69	5.00	4.76	####	0.137	0.099	0.123	-2.47	-15.83
48	138	90	1093.23	1094.95	####	4.69	33.34	5.22	4.72	5.05	4.78	####	0.172	0.125	0.156	-2.41	-16.03
48	140	92	1097.75	1099.51	####	4.52	34.13	5.27	4.74	5.09	4.81	####	0.188	0.138	0.171	-2.31	-16.33
48	142	94	1102.05	1103.82	####	4.30	34.97	5.32	4.76	5.14	4.83	####	0.195	0.145	0.178	-2.19	-16.69
48	144	96	1106.09	1107.87	####	4.03	35.81	5.36	4.78	5.18	4.85	####	0.193	0.146	0.177	-2.06	-17.08
48	146	98	1109.85	1111.66	####	3.76	36.64	5.41	4.80	5.22	4.87	####	0.184	0.142	0.170	-1.94	-17.49
48	148	100	1113.38	1115.21	####	3.53	37.42	5.45	4.82	5.25	4.88	####	0.169	0.135	0.158	-1.84	-17.90
48	150	102	1116.73	1118.54	####	3.35	38.05	5.49	4.83	5.29	4.90	####	0.150	0.124	0.142	-1.76	-18.32
48	152	104	1119.92	1121.71	####	3.19	38.57	5.53	4.85	5.33	4.91	####	0.122	0.107	0.117	-1.71	-18.75
48	154	106	1123.12	1124.96	####	3.20	39.19	5.57	4.85	5.36	4.92	####	-0.094	-0.066	-0.085	-1.78	-19.22
48	156	108	1126.48	1126.48	####	3.36	39.87	5.61	4.87	5.39	4.93	####	0.000	0.000	0.000	-1.86	-19.62
48	158	110	1130.00	1130.00	####	3.52	40.53	5.66	4.88	5.43	4.95	####	0.000	0.000	0.000	-1.74	-19.94
48	160	112	1133.16	1133.16	####	3.16	41.18	5.70	4.90	5.47	4.96	####	0.000	0.000	0.000	-1.40	-20.27
48	162	114	1135.27	1135.27	####	2.11	42.12	5.72	4.92	5.50	4.99	####	0.000	0.000	0.000	-0.93	-20.73
48	164	116	1136.69	1136.69	####	1.42	43.10	5.75	4.94	5.53	5.01	####	0.000	0.000	0.000	-0.70	-21.22
48	166	118	1137.70	1137.70	####	1.01	44.01	5.78	4.96	5.56	5.03	####	0.000	0.000	0.000	-0.52	-21.70
48	168	120	1138.47	1138.47	####	0.77	44.85	5.81	4.99	5.59	5.05	####	0.000	0.000	0.000	-0.38	-22.17
48	170	122	1138.95	1138.95	####	0.48	45.42	5.84	5.01	5.61	5.07	####	0.000	0.000	0.000	-0.23	-22.64
48	172	124	1139.16	1139.16	####	0.22	46.03	5.86	5.03	5.64	5.09	####	0.000	0.000	0.000	-0.06	-23.10
48	174	126	1138.90	1138.90	####	-0.26	47.37	5.88	5.06	5.66	5.12	####	0.000	0.000	0.000	-0.07	-23.72
50	96	46	761.37	761.37	####	####	-0.02	4.26	4.40	4.33	4.47	####	0.000	0.000	0.000	-17.04	1.94
50	98	48	795.01	795.01	####	33.64	2.17	4.29	4.39	4.34	4.46	####	0.000	0.000	0.000	-16.61	-2.24
50	100	50	827.97	827.97	825.16	32.96	5.13	4.32	4.39	4.35	4.46	####	0.000	0.000	0.000	-14.04	-0.05
50	102	52	849.83	849.83	849.09	21.86	6.80	4.37	4.41	4.39	4.48	####	0.000	0.000	0.000	-10.95	-1.02
50	104	54	871.06	871.06	871.93	21.24	7.67	4.43	4.43	4.43	4.50	####	0.000	0.000	0.000	-10.67	-2.00
50	106	56	891.76	891.76	893.80	20.70	8.32	4.48	4.45	4.47	4.52	####	0.000	0.000	0.000	-10.40	-2.94
50	108	58	911.92	911.92	914.65	20.16	9.38	4.53	4.47	4.50	4.54	4.56	0.000	0.000	0.000	-10.14	-3.44
50	110	60	931.56	931.56	934.57	19.65	10.90	4.57	4.49	4.54	4.56	4.58	0.000	0.000	0.000	-9.86	-4.41
50	112	62	950.74	950.74	953.53	19.17	12.94	4.61	4.51	4.57	4.58	4.59	0.000	0.000	0.000	-9.56	-5.09
50	114	64	969.20	969.20	971.57	18.47	15.16	4.66	4.53	4.60	4.60	4.61	0.000	0.000	0.000	-9.18	-5.28
50	116	66	986.84	986.84	988.68	17.64	17.24	4.70	4.54	4.63	4.61	4.63	0.000	0.000	0.000	-8.76	-6.58
50	118	68	1003.67	1003.67	1004.95	16.82	18.96	4.74	4.56	4.66	4.63	4.64	0.000	0.000	0.000	-8.37	-7.26
50	120	70	1019.77	1019.77	1020.54	16.11	20.29	4.78	4.57	4.69	4.64	4.65	0.000	0.000	0.000	-8.02	-7.95
50	122	72	1035.22	1035.22	1035.52	15.45	21.69	4.82	4.59	4.72	4.66	4.66	0.000	0.000	0.000	-7.69	-8.68
50	124	74	1050.06	1050.06	1049.96	14.84	23.20	4.85	4.60	4.75	4.67	4.68	0.000	0.000	0.000	-7.38	-9.45
50	126	76	1064.37	1064.37	1063.88	14.30	24.80	4.89	4.61	4.78	4.68	4.68	0.000	0.000	0.000	-7.09	-10.23
50	128	78	1078.15	1078.15	1077.37	13.79	26.37	4.92	4.63	4.81	4.70	4.69	0.000	0.000	0.000	-6.82	-11.01
50	130	80	1091.50	1091.50	1090.29	13.35	27.98	4.95	4.64	4.83	4.71	4.70	0.000	0.000	0.000	-6.57	-11.81
50	132	82	1104.47	1104.47	1102.84	12.96	29.60	4.98	4.65	4.86	4.72	4.71	0.000	0.000	0.000	-4.71	-12.61
50	134	84	1109.80	1109.80	1108.87	5.34	30.27	5.03	4.67	4.90	4.74	4.73	0.000	0.000	0.000	-2.76	-13.02
50	136	86	1114.92	1114.92	####	5.12	30.94	5.08	4.69	4.94	4.76	####	0.000	0.000	0.000	-2.67	-13.43
50	138	88	1119.87	1119.87	####	4.95	31.32	5.13	4.71	4.98	4.78	####	0.000	0.000	0.000	-2.59	-14.15
50	140	90	1124.66	1124.66	####	4.79	31.42	5.18	4.73	5.02	4.79	####	0.000	0.000	0.000	-2.53	-14.26
50	142	92	1129.33	1129.33	####	4.68	31.58	5.23	4.75	5.07	4.81	####	0.000	0.000	0.000	-2.48	-14.26
50	144	94	1134.15	1136.16	####	4.82	32.10	5.28	4.77	5.11	4.84	####	0.115	0.064	0.098	-2.49	-15.21
50	146	96	1138.79	1140.87	####	4.64	32.71	5.34	4.79	5.16	4.86	####	-0.130	-0.079	-0.112	-2.49	-15.83
50	148	98	1143.47	1145.52	####	4.67	33.62	5.38	4.82	5.20	4.88	####	-0.139	-0.085	-0.121	-2.42	-16.21
50	150	100	1147.97	1150.00	####	4.51	34.59	5.42	4.83	5.23	4.90	####	-0.135	-0.083	-0.118	-2.34	-16.60
50	152	102	1152.33	1154.33	####	4.36	35.61	5.46	4.85	5.27	4.92	####	-0.122	-0.074	-0.106	-2.27	-16.95
50	154	104	1156.57	1158.51	####	4.24	36.65	5.50	4.87	5.31	4.93	####	-0.097	-0.058	-0.084	-2.23	-17.45
50	156	106	1160.74	1160.74	####	4.17	37.62	5.54	4.88	5.34	4.95	####	0.000	0.000	0.000	-2.26	-17.58
50	158	108	1165.03	1165.03	####	4.29	38.55	5.58	4.90	5.38	4.96	####	0.000	0.000	0.000	-2.19	-17.96
50	160	110	1169.17	1169.17	####	4.14	39.17	5.62	4.91	5.41	4.98	####	0.000	0.000	0.000	-2.06	-18.24
50	162	112	1172.98	1172.98	####	3.81	39.83	5.66	4.93	5.45	4.99	####	0.000	0.000	0.000	-1.79	-18.70
50	164	114	1176.01	1176.01	####	3.03	40.74	5.69	4.95	5.48	5.01	####	0.000	0.000	0.000	-1.42	-19.09
50	166	116	1178.40	1178.40	####	2.39	41.71	5.72	4.97	5.51	5.03	####	0.000	0.000	0.000	-1.18	-19.62
50	168	118	1180.40	1180.40	####	1.99	42.70	5.75	4.99	5.53	5.05	####	0.000	0.000	0.000	-1.00	-19.62
50	170	120	1182.11	1182.11	####	1.71	43.64	5.78	5.01	5.56	5.08	####	0.000	0.000	0.000	-0.85	-20.68
50	172	122	1183.56	1183.56	####	1.45	44.61	5.80	5.03	5.59	5.10	####	0.000	0.000	0.000	-0.70	-21.21
50	174	124	1184.76	1184.76	####	1.20	45.59	5.83	5.05	5.62	5.12	####	0.000	0.000	0.000	-0.53	-21.74
50	176	126	1185.65	1185.65	####	0.89	46.74	5.85	5.08	5.64	5.14	####	0.000	0.000	0.000	-0.23	-22.34
50	178	128	1184.79	1184.79	####	-0.86	46.66	5.93	5.08	5.70	5.14	####	0.000	0.000	0.000	0.37	-22.34
52	104	52	847.24	848.91	848.36	####	-2.59	4.41	4.49	4.45	4.56	####	0.136	0.146	0.141	-13.10	1.22
52	106	54	871.31	873.11	873.10	24.07	0.24	4.47	4.51	4.49	4.58	####	0.165	0.164	0.165	-11.94	-1.03
52	108	56	894.41	896.16	896.80	23.10	2.65	4.52	4.53	4.53	4.60	####	0.189	0.179	0.184	-11.35	-1.12
52	110	58	916.22	918.00	919.39	21.81	4.30	4.57	4.55	4.56	4.62	####	0.198	0.183	0.191	-10.78	-2.04
52	112	60	937.08	938.86	940.87	20.85	5.51	4.61	4.57	4.59	4.64	####	0.200	0.183	0.192	-10.37	-2.88
52	114	62	957.12	958.94	961.34	20.04	6.38	4.65	4.58	4.62	4.65	####	0.201	0.182	0.193	-9.99	-3.70
52	116	64	976.81	979.30	980.85	19.69	7.61	4.69	4.60	4.65	4.67	4.68	-0.171	-0.151	-0.162	-9.91	-3.94
52	118	66	996.03	998.38	999.42	19.22	9.19	4.73	4.61	4.68	4.68	4.70	-0.175	-0.154	-0.166	-9.44	-4.77
52	120	68	1014.18	1016.48	1017.24	18.15	10.51	4.77	4.63	4.71	4.70	4.70	-0.166	-0.147	-0.158	-8.96	-5.46
52	122	70	1031.47	1033.70	1034.33	17.29	11.70	4.80	4.64	4.73	4.71	4.71	-0.143	-0.129	-0.137	-8.64	-5.98
52	124	72	1048.18	1050.26	1050.69	16.71	12.96	4.83	4.65	4.76	4.72	4.72	-0.122	-0.113	-0.118	-8.32	-6.53
52	126	74	1064.25	1066.22	1066.37	16.07	14.19	4.87	4.66	4.78	4.73	4.73	-0.097	-0.093	-0.095	-8.02	-7.08
52	128	76	1079.84	1080.89	1081.44	15.59	15.47	4.90	4.67	4.81	4.74	4.73	0.108	0.116	0.112	-7.75	-7.96
52	130	78	1095.18	1095.18	1095.94	15.34	17.03	4.93	4.68	4.83	4.74	4.74	0.014	0.015	0.014	-7.63	-8.16
52	132	80	1110.17	1110.17	1109.92	14.98	18.66	4.96	4.69	4.85	4.76	4.75	0.000	0.000	0.000	-7.39	-8.94
52	134	82	1124.79	1124.79	1123.41	14.62	20.32	4.98	4.70	4.88	4.77	4.76	0.000	0.000	0.000	-5.38	-9.75
52	136	84	1131.10	1131.10	1131.44	6.31	21.29	5.04	4.72	4.92	4.79	4.78	0.000	0.000	0.000	-3.25	-10.26
52	138	86	1138.06	1139.47	1138.86	6.96	23.14	5.10	4.75	4.97	4.82	####	0.144	0.124	0.136	-3.78	-11.63
52	140	88	1145.25	1146.74	1145.67	7.19	25.38	5.15	4.78	5.02	4.85	####	0.178	0.145	0.165	-3.52	-12.53
52	142	90	1151.70	1153.28	####	6.45	27.04	5.20	4.80	5.06	4.87	####	0.192	0.154	0.178	-3.22	-13.18
52	144	92	1157.69	1159.41	####	5.99	28.35	5.25	4.82	5.10	4.89	####	0.201	0.160	0.186	-3.07	-13.76
52	146	94	1163.42	1165.29	####	5.73	29.27	5.29	4.85	5.14	4.91	####	0.211	0.168	0.196	-2.95	-14.29
52	148	96	1168.95	1170.98	####	5.53	30.15	5.34	4.87	5.18	4.94	####	0.230	0.187	0.215	-2.84	-14.80
52	150	98	1174.42	1176.63	####	5.47	30.95	5.40	4.92	5.24	4.98	####	0.287	0.246	0.272	-2.82	-15.25
52	152	100	1179.81	1182.04	####	5.39	31.83	5.45	4.95	5.28	5.02	####	0.318	0.279	0.305	-2.67	-15.70
52	154	102	1185.00	1187.05	####	5.19	32.66	5.47	4.92	5.29	4.99	####	-0.210	-0.165	-0.195	-2.62	-15.90
52	156	104	1189.86	1191.91	####	4.86	33.29	5.50	4.94	5.32	5.00	####	-0.200	-0.158	-0.186	-2.46	-16.31
52	158	106	1194.45	1196.46	####	4.59	33.71	5.54	4.96	5.35	5.02	####	-0.185	-0.148	-0.173	-2.35	-16.66
52	160	108	1198.82	1200.74	####	4.37	33.79	5.57	4.97	5.38	5.03	####	-0.167	-0.137	-0.158	-2.23	-16.99
52	162	110	1202.94	1204.81	####	4.12	33.77	5.61	4.98	5.41	5.05	####	-0.140	-0.120	-0.134	-2.13	-17.24
52	164	112	1207.20	1207.20	####	4.26	34.22	5.65	4.98	5.44	5.04	####	0.000	0.000	0.000	-2.24	-16.79
52	166	114	1211.27	1211.27	####	4.07	35.26	5.68	4.99	5.47	5.06	####	0.000	0.000	0.000	-1.98	-17.27
52	168	116	1214.83	1214.83	####	3.56	36.43	5.71	5.01	5.50	5.08	####	0.000	0.000	0.000	-1.76	-17.83
52	170	118	1218.00	1218.00	####	3.18	37.61	5.74	5.03	5.53	5.10	####	0.000	0.000	0.000	-1.58	-18.40
52	172	120	1220.91	1220.91	####	2.91	38.80	5.76	5.06	5.56	5.12	####	0.028	0.036	0.030	-1.43	-19.03
52	174	122	1223.51	1223.51	####	2.60	39.96	5.79	5.07	5.58	5.14	####	0.000	0.000	0.000	-1.29	-19.55
52	176	124	1225.92	1225.92	####	2.41	41.17	5.81	5.10	5.61	5.16	####	0.000	0.000	0.000	-1.14	-20.14
52	178	126	1228.09	1228.09	####	2.17	42.44	5.84	5.12	5.64	5.18	####	0.000	0.000	0.000	-0.39	-20.75
52	180	128	1227.34	1227.34	####	-0.76	42.55	5.90	5.12	5.69	5.19	####	0.000	0.000	0.000	0.30	-20.82
54	110	56	894.80	897.04	897.52	####	0.39	4.55	4.60	4.57	4.66	####	0.216	0.217	0.217	-12.44	0.16
54	112	58	918.53	921.04	921.77	23.73	2.30	4.59	4.61	4.60	4.68	####	0.228	0.223	0.225	-11.69	-0.77
54	114	60	941.18	943.84	944.97	22.66	4.11	4.64	4.63	4.63	4.70	####	0.240	0.230	0.235	-11.25	-1.66
54	116	62	963.04	965.76	967.07	21.86	5.92	4.69	4.65	4.67	4.71	4.72	0.260	0.243	0.252	-10.86	-2.56
54	118	64	984.20	986.95	988.25	21.16	7.39	4.74	4.67	4.71	4.74	4.74	0.290	0.270	0.281	-10.49	-3.44
54	120	66	1004.65	1007.43	1008.48	20.45	8.62	4.79	4.70	4.75	4.77	4.75	0.321	0.306	0.314	-10.09	-4.23
54	122	68	1024.30	1026.84	1027.81	19.65	10.13	4.83	4.72	4.79	4.79	4.76	0.333	0.322	0.328	-9.48	-4.94
54	124	70	1042.46	1044.82	1046.26	18.16	10.99	4.83	4.69	4.77	4.76	4.77	0.219	0.209	0.214	-9.33	-5.37
54	126	72	1060.61	1062.77	1063.89	18.15	12.43	4.85	4.70	4.79	4.77	4.77	0.190	0.188	0.189	-9.00	-5.89
54	128	74	1078.06	1080.10	1080.74	17.45	13.80	4.88	4.71	4.81	4.78	4.78	0.165	0.169	0.167	-8.64	-6.43
54	130	76	1094.87	1096.77	1096.91	16.81	15.03	4.91	4.72	4.83	4.79	4.78	0.136	0.147	0.141	-8.36	-6.94
54	132	78	1111.18	1112.93	1112.45	16.31	15.99	4.94	4.73	4.86	4.79	4.79	0.104	0.119	0.110	-8.09	-7.50
54	134	80	1127.06	1128.71	1127.44	15.88	16.89	4.97	4.73	4.87	4.80	4.79	0.051	0.061	0.055	-8.00	-8.08
54	136	82	1143.20	1143.20	1141.88	16.15	18.42	4.99	4.74	4.89	4.81	4.80	0.000	0.000	0.000	-6.13	-8.82
54	138	84	1150.60	1152.22	1151.57	7.40	19.51	5.05	4.77	4.94	4.84	4.83	0.089	0.092	0.090	-4.33	-9.43
54	140	86	1159.53	1161.25	1160.72	8.93	21.47	5.10	4.80	4.99	4.87	4.86	0.154	0.145	0.151	-4.54	-10.12
54	142	88	1168.32	1169.98	1169.11	8.79	23.07	5.16	4.83	5.03	4.89	4.88	0.192	0.171	0.184	-4.28	-10.90
54	144	90	1176.20	1178.13	1176.90	7.88	24.51	5.20	4.85	5.07	4.92	4.91	0.208	0.182	0.199	-3.91	-11.62
54	146	92	1183.60	1185.68	1184.12	7.40	25.92	5.25	4.87	5.11	4.94	4.93	0.222	0.191	0.210	-3.72	-12.31
54	148	94	1190.65	1192.80	####	7.05	27.23	5.30	4.90	5.15	4.96	####	0.236	0.201	0.223	-3.55	-12.95
54	150	96	1197.39	1199.58	####	6.73	28.44	5.34	4.92	5.19	4.98	####	0.253	0.214	0.239	-3.40	-13.56
54	152	98	1203.84	1206.08	####	6.46	29.42	5.39	4.95	5.23	5.01	####	0.280	0.237	0.265	-3.26	-14.11
54	154	100	1210.07	1212.34	####	6.22	30.26	5.44	4.98	5.28	5.04	####	0.314	0.272	0.299	-3.11	-14.59
54	156	102	1215.89	1218.21	####	5.82	30.89	5.48	5.00	5.32	5.07	####	0.320	0.283	0.307	-2.88	-15.02
54	158	104	1221.28	1223.63	####	5.39	31.42	5.51	5.02	5.35	5.08	####	0.305	0.272	0.294	-2.72	-15.42
54	160	106	1226.49	1228.69	####	5.21	32.05	5.53	5.00	5.36	5.07	####	-0.214	-0.182	-0.203	-2.70	-15.49
54	162	108	1231.59	1233.73	####	5.10	32.78	5.57	5.02	5.39	5.08	####	-0.198	-0.170	-0.188	-2.59	-15.85
54	164	110	1236.46	1238.46	####	4.87	33.52	5.60	5.03	5.42	5.10	####	-0.182	-0.159	-0.174	-2.45	-16.23
54	166	112	1241.02	1242.98	####	4.56	33.81	5.63	5.05	5.45	5.11	####	-0.159	-0.143	-0.154	-2.32	-16.58
54	168	114	1245.39	1247.28	####	4.37	34.12	5.66	5.06	5.47	5.12	####	-0.126	-0.120	-0.124	-2.27	-16.90
